timestamp_iso,date,time,milliseconds,leaked_memory_mb,leaked_memory_blocks,leak_rate_mb_per_sec,system_memory_used_mb,system_memory_percent,system_memory_available_mb,system_memory_total_mb,process_memory_mb,process_memory_percent
2025-10-05T11:19:23.000911,2025-10-05,11:19:23,000,0.80,1,0.80,5415.83,72.70,2157.32,7901.84,30.56,0.39
2025-10-05T11:19:24.009123,2025-10-05,11:19:24,009,1.60,2,0.80,5149.32,69.30,2423.83,7901.84,31.33,0.40
2025-10-05T11:19:25.011480,2025-10-05,11:19:25,011,2.40,3,0.80,5291.87,71.10,2281.28,7901.84,32.11,0.41
2025-10-05T11:19:26.026725,2025-10-05,11:19:26,026,3.20,4,0.80,5518.48,74.00,2054.70,7901.84,32.88,0.42
2025-10-05T11:19:27.029013,2025-10-05,11:19:27,029,4.00,5,0.80,5251.34,70.60,2321.81,7901.84,33.65,0.43
2025-10-05T11:19:28.030871,2025-10-05,11:19:28,030,4.80,6,0.80,5446.75,73.10,2126.40,7901.84,34.43,0.44
2025-10-05T11:19:29.081777,2025-10-05,11:19:29,081,5.60,7,0.80,5534.88,74.20,2038.26,7901.84,34.94,0.44
2025-10-05T11:19:30.083471,2025-10-05,11:19:30,083,6.40,8,0.80,5397.80,72.50,2175.27,7901.84,35.71,0.45
2025-10-05T11:19:31.085252,2025-10-05,11:19:31,085,7.20,9,0.80,5196.43,69.90,2376.67,7901.84,36.49,0.46
2025-10-05T11:19:32.087630,2025-10-05,11:19:32,087,8.00,10,0.80,5411.31,72.60,2161.82,7901.84,37.26,0.47
2025-10-05T11:19:33.089677,2025-10-05,11:19:33,089,8.80,11,0.80,5313.82,71.40,2259.31,7901.84,38.04,0.48
2025-10-05T11:19:34.091442,2025-10-05,11:19:34,091,9.60,12,0.80,5156.17,69.40,2416.96,7901.84,38.81,0.49
2025-10-05T11:19:34.112814,2025-10-05,11:19:34,112,9.60,12,0.00,5186.20,69.80,2386.94,7901.84,38.81,0.49
